name,genre,year_of_release,publisher,sales,critic_score,user_score,developer,rating,platform,min_age
Far Cry 4,Shooter,2014,Ubisoft,1.63,82,7.5,Ubisoft,M,XOne,17
ESPN NFL 2K5,Sports,2004,Other,1.63,92,9.1,Visual Concepts,E,XB,0
Pikmin,Strategy,2001,Nintendo,1.63,89,8.7,Nintendo,E,GC,0
Tiger Woods PGA Tour 2004,Sports,2003,Electronic Arts,1.63,89,8.8,EA,E,PS2,0
NCAA Football 2005,Sports,2004,Electronic Arts,1.62,88,8.8,EA,E,PS2,0
LEGO Marvel Super Heroes,Action,2013,Warner Bros. Interactive Entertainment,1.62,83,7.7,TT Games,E10+,PS4,10
NFL Street 2,Sports,2004,Electronic Arts,1.61,77,8.7,EA,E,PS2,0
ESPN NBA 2K5,Sports,2004,Other,1.59,83,7.5,Visual Concepts,E,PS2,0
Far Cry 2,Action,2008,Ubisoft,1.59,85,6.7,Ubisoft,M,X360,17
The Legend of Zelda: Twilight Princess,Action,2006,Nintendo,1.59,96,9.2,Nintendo,T,GC,13
Pro Evolution Soccer 2008,Sports,2007,Konami Digital Entertainment,1.59,74,6.1,Konami,E,PS3,0
Dance Dance Revolution: Hottest Party 2,Simulation,2008,Konami Digital Entertainment,1.58,69,6.8,Konami,E10+,Wii,10
SoulCalibur IV,Fighting,2008,Ubisoft,1.58,85,7.9,Namco,T,X360,13
Devil May Cry 4,Action,2008,Capcom,1.57,84,8.2,Capcom,M,PS3,17
NCAA Football 2002,Sports,2001,Electronic Arts,1.57,90,8.7,EA,E,PS2,0
Watch Dogs,Action,2014,Ubisoft,1.57,78,5.8,Ubisoft,M,XOne,17
Guitar Hero: On Tour Decades,Misc,2008,Activision,1.57,72,8,Vicarious Visions,E10+,DS,10
Madden NFL 15,Sports,2014,Electronic Arts,1.57,80,6.4,EA,E,XOne,0
Fight Night Round 3,Fighting,2006,Electronic Arts,1.56,84,8.1,EA,T,PS2,13
Need for Speed: Most Wanted,Racing,2012,Electronic Arts,1.56,83,8.5,EA,T,X360,13
LEGO Pirates of the Caribbean: The Video Game,Action,2011,Other,1.55,73,7,Traveller's Tales,E10+,Wii,10
Tom Clancy's Rainbow Six 3,Shooter,2003,Ubisoft,1.55,86,8.5,Ubisoft,M,XB,17
LEGO Harry Potter: Years 1-4,Action,2010,Warner Bros. Interactive Entertainment,1.55,79,8,Traveller's Tales,E10+,X360,10
Spider-Man 2: Enter: Electro,Action,2001,Activision,1.55,74,8.7,Vicarious Visions,E,PS,0
Guitar Hero 5,Misc,2009,Activision,1.55,89,6.9,Vicarious Visions,T,Wii,13
Tom Clancy's Ghost Recon Advanced Warfighter,Shooter,2006,Ubisoft,1.54,90,8,Ubisoft,T,X360,13
MVP Baseball 2005,Sports,2005,Electronic Arts,1.54,87,8.6,EA,E,PS2,0
Pro Evolution Soccer 2013,Sports,2012,Konami Digital Entertainment,1.53,82,6.7,Konami,E,PS3,0
Fight Night Round 4,Fighting,2009,Electronic Arts,1.52,88,7.6,EA,T,PS3,13
Pac-Man World 2,Action,2002,Other,1.51,73,7.8,Namco,E,PS2,0
MySims Kingdom,Simulation,2008,Electronic Arts,1.51,76,8.1,EA,E,Wii,0
The Simpsons Game,Action,2007,Electronic Arts,1.51,68,8.2,EA,T,PS2,13
SoulCalibur II,Fighting,2003,Other,1.5,93,9.1,Namco,T,GC,13
Madden NFL 2001,Sports,2000,Electronic Arts,1.5,91,7.7,EA,E,PS2,0
Medal of Honor: Frontline,Shooter,2002,Electronic Arts,1.49,81,6.9,EA,T,XB,13
Madden NFL 09,Sports,2008,Electronic Arts,1.49,67,7,EA,E,PS2,0
Fight Night 2004,Fighting,2004,Electronic Arts,1.48,85,9,EA,T,PS2,13
LEGO Star Wars III: The Clone Wars,Action,2011,Other,1.48,75,7.8,Traveller's Tales,E10+,X360,10
Tom Clancy's Splinter Cell: Pandora Tomorrow,Action,2004,Ubisoft,1.48,93,8.6,Ubisoft,T,XB,13
Tom Clancy's Ghost Recon: Future Soldier,Shooter,2012,Ubisoft,1.47,79,7.2,Ubisoft,M,X360,17
Fight Night Round 3,Fighting,2006,Electronic Arts,1.47,86,8.8,EA,T,X360,13
SoulCalibur IV,Fighting,2008,Ubisoft,1.46,85,7.9,Namco,T,PS3,13
Mario Superstar Baseball,Sports,2005,Nintendo,1.46,76,8.6,Namco,E,GC,0
Battlefield: Bad Company,Shooter,2008,Electronic Arts,1.46,83,7.7,EA,T,X360,13
Onimusha 3: Demon Siege,Action,2004,Capcom,1.45,85,8.6,Capcom,M,PS2,17
