name,genre,year_of_release,publisher,sales,critic_score,user_score,developer,rating,platform,min_age
NBA Street Vol. 2,Sports,2003,Electronic Arts,0.68,89,8.8,EA,E,XB,0
NCAA Football 2005,Sports,2004,Electronic Arts,0.68,89,8,EA,E,XB,0
Prince of Persia: The Two Thrones,Action,2005,Ubisoft,0.68,85,8.5,Ubisoft,M,PS2,17
Suikoden II,Role-Playing,1998,Konami Digital Entertainment,0.68,82,8.4,Konami,T,PS,13
FIFA Soccer 06,Sports,2005,Electronic Arts,0.68,80,7.5,EA,E,XB,0
Fight Night 2004,Fighting,2004,Electronic Arts,0.68,85,8.7,EA,T,XB,13
The LEGO Movie Videogame,Action,2014,Warner Bros. Interactive Entertainment,0.67,71,7.1,TT Games,E10+,PS4,10
Red Steel,Shooter,2006,Ubisoft,0.67,63,6.8,Ubisoft,T,Wii,13
NFL Street,Sports,2004,Electronic Arts,0.66,81,8.8,EA,E,XB,0
Blazing Angels: Squadrons of WWII,Simulation,2006,Ubisoft,0.66,67,6.9,Ubisoft,T,PS3,13
WWE SmackDown vs. RAW 2007,Fighting,2006,Other,0.66,78,8.1,Yuke's,T,PSP,13
F1 2015,Racing,2015,Codemasters,0.66,65,6.3,Codemasters,E,PS4,0
NHL 10,Sports,2009,Electronic Arts,0.66,88,8.4,EA,E10+,X360,10
Street Fighter Anniversary Collection,Fighting,2004,Capcom,0.66,78,8.7,Capcom,T,PS2,13
NHL 13,Sports,2012,Electronic Arts,0.66,83,6.6,EA,E10+,X360,10
Rayman Legends,Platform,2013,Ubisoft,0.66,92,8.7,Ubisoft,E10+,WiiU,10
The Sims: Bustin' Out,Simulation,2003,Electronic Arts,0.66,81,9,Maxis,T,GC,13
Tom Clancy's EndWar,Strategy,2008,Ubisoft,0.66,76,6.6,Ubisoft,T,PS3,13
One Piece: Pirate Warriors 2,Action,2013,Other,0.66,71,7.8,Omega Force,T,PS3,13
LEGO Jurassic World,Action,2015,Warner Bros. Interactive Entertainment,0.65,70,6.7,TT Games,E10+,XOne,10
Shaun White Snowboarding,Sports,2008,Ubisoft,0.65,63,6.3,Ubisoft,T,PS3,13
Monster Jam: Maximum Destruction,Racing,2002,Ubisoft,0.65,47,6,Ubisoft,T,PS2,13
Tiger Woods PGA Tour 09,Sports,2008,Electronic Arts,0.65,82,7.2,EA,E,PS3,0
Tiger Woods PGA Tour 09,Sports,2008,Electronic Arts,0.65,84,7.8,EA,E,X360,0
Harry Potter and the Goblet of Fire,Action,2005,Electronic Arts,0.65,68,6.7,EA,E10+,PS2,10
Tiger Woods PGA Tour 10,Sports,2009,Electronic Arts,0.65,80,6.9,EA,E,X360,0
Crash Bandicoot Purple: Ripto's Rampage,Platform,2004,Other,0.64,67,6.6,Vicarious Visions,E,GBA,0
Assassin's Creed IV: Black Flag,Action,2013,Ubisoft,0.64,84,7.7,Ubisoft,M,PC,17
Crash: Twinsanity,Platform,2004,Other,0.64,64,8,Traveller's Tales,E,PS2,0
The LEGO Movie Videogame,Action,2014,Warner Bros. Interactive Entertainment,0.64,68,7.7,TT Games,E10+,WiiU,10
GoldenEye: Rogue Agent,Shooter,2004,Electronic Arts,0.64,60,7,EA,T,PS2,13
WWE 2K15,Sports,2014,Take-Two Interactive,0.64,50,4,Yuke's,T,X360,13
James Bond 007: Everything or Nothing,Shooter,2004,Electronic Arts,0.64,83,7.4,EA,T,XB,13
NBA Live 06,Sports,2005,Electronic Arts,0.64,79,6.4,EA,E,XB,0
Rayman 3D,Platform,2011,Ubisoft,0.64,61,6.6,Ubisoft,E,3DS,0
Onimusha: Dawn of Dreams,Action,2006,Capcom,0.64,81,8.9,Capcom,M,PS2,17
Sengoku Basara: Samurai Heroes,Action,2010,Capcom,0.64,61,7.9,Capcom,T,PS3,13
The Crew,Racing,2014,Ubisoft,0.64,64,5.9,Ubisoft,T,XOne,13
NHL 13,Sports,2012,Electronic Arts,0.64,84,6.8,EA,E10+,PS3,10
Lost Planet: Extreme Condition,Shooter,2008,Capcom,0.64,67,7,Capcom,T,PS3,13
LEGO Star Wars II: The Original Trilogy,Action,2006,Other,0.63,81,8,Traveller's Tales,E10+,X360,10
NBA Live 08,Sports,2007,Electronic Arts,0.63,73,6.8,EA,E,PS3,0
FIFA Soccer 2003,Sports,2002,Electronic Arts,0.63,88,7.7,EA,E,XB,0
Far Cry 4,Shooter,2014,Ubisoft,0.63,80,6.7,Ubisoft,M,PC,17
NASCAR 06: Total Team Control,Racing,2005,Electronic Arts,0.63,78,7.7,EA,E,PS2,0
FIFA Soccer 2002,Sports,2001,Electronic Arts,0.63,82,5.8,EA,E,PS2,0
Buzz Lightyear of Star Command,Platform,2000,Activision,0.63,54,5.3,Traveller's Tales,E,PS,0
NHL 16,Sports,2015,Electronic Arts,0.63,78,5.5,EA,E10+,PS4,10
Tony Hawk's Project 8,Sports,2006,Activision,0.63,76,7.2,Neversoft Entertainment,T,PS3,13
Tony Hawk's American Wasteland,Sports,2005,Activision,0.62,77,7.7,Neversoft Entertainment,T,XB,13
Madden NFL 07,Sports,2006,Electronic Arts,0.62,82,9.2,EA,E,GC,0
Tiger Woods PGA Tour 2004,Sports,2003,Electronic Arts,0.62,89,8.2,EA,E,XB,0
Just Dance 3,Misc,2011,Ubisoft,0.62,75,6,Ubisoft,E10+,PS3,10
LEGO Pirates of the Caribbean: The Video Game,Action,2011,Other,0.62,71,7.3,Traveller's Tales,E10+,3DS,10
Guitar Hero: Metallica,Misc,2009,Activision,0.62,86,8,Neversoft Entertainment,T,PS3,13
Red Steel 2,Shooter,2010,Ubisoft,0.62,80,8.6,Ubisoft,T,Wii,13
Prince of Persia: The Forgotten Sands,Action,2010,Ubisoft,0.62,74,7.8,Ubisoft,T,X360,13
Warriors Orochi 3,Action,2011,Other,0.62,70,7.9,Omega Force,T,PS3,13
Tiger Woods PGA Tour 12: The Masters,Sports,2011,Electronic Arts,0.62,80,6.1,EA,E,X360,0
Harry Potter and the Half-Blood Prince,Action,2009,Electronic Arts,0.61,48,4.3,EA,E,DS,0
2014 FIFA World Cup Brazil,Sports,2014,Electronic Arts,0.61,73,4.3,EA,E,PS3,0
NBA 2K9,Sports,2008,Take-Two Interactive,0.61,82,7,Visual Concepts,E,PS3,0
Samurai Warriors 2,Action,2006,Tecmo Koei,0.61,58,8.8,Omega Force,T,PS2,13
Time Crisis 3,Shooter,2003,Other,0.61,81,8.1,Namco,T,PS2,13
pro evolution soccer 2011,Sports,2010,Konami Digital Entertainment,0.61,79,5.9,Konami,E,X360,0
Spider-Man: Mysterio's Menace,Action,2001,Activision,0.61,84,8.7,Vicarious Visions,E,GBA,0
MySims Racing,Racing,2009,Electronic Arts,0.61,67,7.3,EA,E,DS,0
Tony Hawk's Underground,Sports,2003,Activision,0.6,86,7.7,Vicarious Visions,E,GBA,0
Wave Race: Blue Storm,Racing,2001,Nintendo,0.6,80,8.3,Nintendo,E,GC,0
Fight Night Round 2,Fighting,2005,Electronic Arts,0.6,88,8.8,EA,T,XB,13
NBA 2K8,Sports,2007,Take-Two Interactive,0.6,72,6,Visual Concepts,E,PS2,0
Dynasty Warriors 8,Action,2013,Tecmo Koei,0.6,68,8.5,Omega Force,T,PS3,13
Fighters Uncaged,Fighting,2010,Ubisoft,0.6,32,4.6,Ubisoft,T,X360,13
Rayman Arena,Racing,2001,Ubisoft,0.6,63,8.6,Ubisoft,E,PS2,0
LEGO The Hobbit,Action,2014,Warner Bros. Interactive Entertainment,0.6,72,6.6,TT Games,E10+,PS4,10
WWE 2K17,Sports,2016,Take-Two Interactive,0.6,69,6.9,Yuke's,T,PS4,13
Just Dance 2014,Misc,2013,Ubisoft,0.6,72,7.6,Ubisoft,E10+,WiiU,10
NHL 15,Sports,2014,Electronic Arts,0.6,60,3.6,EA,E10+,PS4,10
Monopoly,Misc,2008,Electronic Arts,0.59,56,5.8,EA,E,X360,0
Dead Space,Action,2008,Electronic Arts,0.59,86,8,EA,M,PC,17
NHL 11,Sports,2010,Electronic Arts,0.59,88,7.1,EA,E10+,PS3,10
2002 FIFA World Cup,Sports,2002,Electronic Arts,0.59,73,5.6,EA,E,PS2,0
MVP Baseball 2004,Sports,2004,Electronic Arts,0.59,90,8.5,EA,E,XB,0
Crash Bandicoot: The Wrath of Cortex,Platform,2002,Other,0.59,62,7.3,Traveller's Tales,E,GC,0
WWE 2K16,Sports,2015,Take-Two Interactive,0.59,72,5.7,Yuke's,T,XOne,13
Assassin's Creed: Brotherhood,Action,2011,Ubisoft,0.59,88,8.2,Ubisoft,M,PC,17
Naruto: The Broken Bond,Action,2008,Ubisoft,0.59,80,7.8,Ubisoft,T,X360,13
Lost: Via Domus,Action,2008,Ubisoft,0.58,55,6.4,Ubisoft,T,X360,13
The Lord of the Rings: The Third Age,Role-Playing,2004,Electronic Arts,0.58,73,8.2,EA,T,PS2,13
NCAA Football 09,Sports,2008,Electronic Arts,0.58,81,7.3,EA,E,PS3,0
MLB 11: The Show,Sports,2011,Sony Computer Entertainment,0.58,90,7.8,EA,E,PS3,0
Skylanders SWAP Force,Platform,2013,Activision,0.58,89,6,Vicarious Visions,E10+,WiiU,10
Tom Clancy's HAWX,Action,2009,Ubisoft,0.58,73,7.3,Ubisoft,T,X360,13
NHL 12,Sports,2011,Electronic Arts,0.58,86,7.5,EA,E10+,PS3,10
Prince of Persia: The Two Thrones,Action,2005,Ubisoft,0.58,85,8.4,Ubisoft,M,XB,17
Rayman Legends,Platform,2013,Ubisoft,0.58,91,8.7,Ubisoft,E10+,PS3,10
FIFA Soccer,Sports,2012,Electronic Arts,0.58,79,7.2,EA,E,PSV,0
Tony Hawk's Pro Skater 4,Sports,2002,Activision,0.58,91,8.6,Neversoft Entertainment,T,GC,13
NHL 06,Sports,2005,Electronic Arts,0.58,78,8.5,EA,E10+,PS2,10
Skate it,Sports,2008,Electronic Arts,0.58,70,8.4,EA,E,Wii,0
Far Cry Instincts,Shooter,2005,Ubisoft,0.57,85,5.7,Ubisoft,M,XB,17
Tony Hawk's Pro Skater 4,Sports,2002,Activision,0.57,85,8.8,Vicarious Visions,E,GBA,0
Tales of the Abyss,Role-Playing,2005,Other,0.57,78,8.4,Namco,T,PS2,13
Spyro Orange: The Cortex Conspiracy,Action,2004,Other,0.57,60,7,Vicarious Visions,E,GBA,0
Skylanders: Spyro's Adventure,Action,2011,Activision,0.57,82,4.9,Vicarious Visions,E10+,3DS,10
Madden NFL 06,Sports,2005,Electronic Arts,0.57,86,8.5,EA,E,GC,0
NHL 10,Sports,2009,Electronic Arts,0.57,88,7.9,EA,E10+,PS3,10
Dynasty Warriors 5: Xtreme Legends,Action,2005,Tecmo Koei,0.57,57,9.1,Omega Force,T,PS2,13
WWE 2K15,Sports,2014,Take-Two Interactive,0.57,56,5.7,Yuke's,T,XOne,13
FIFA World Cup Germany 2006,Sports,2006,Electronic Arts,0.57,77,8.1,EA,E,PS2,0
Pro Evolution Soccer 2012,Action,2011,Konami Digital Entertainment,0.57,74,6.3,Konami,E,PSP,0
Just Dance 2016,Misc,2015,Ubisoft,0.57,73,6.9,Ubisoft,E10+,WiiU,10
Resident Evil Outbreak File #2,Action,2004,Capcom,0.57,58,7.7,Capcom,M,PS2,17
XIII,Shooter,2003,Ubisoft,0.57,73,8.6,Ubisoft,M,PS2,17
Breath of Fire IV,Role-Playing,2000,Capcom,0.56,83,8.9,Capcom,T,PS,13
Arena Football,Sports,2006,Electronic Arts,0.56,66,8.6,EA,E10+,PS2,10
Classic NES Series: Dr. Mario,Puzzle,2004,Nintendo,0.56,66,7.5,Nintendo,E,GBA,0
The Sims: Bustin' Out,Simulation,2003,Electronic Arts,0.56,81,8.9,Maxis,T,XB,13
NCAA March Madness 07,Sports,2007,Electronic Arts,0.56,63,8.6,EA,E,PS2,0
Tom Clancy's HAWX,Action,2009,Ubisoft,0.56,74,8.1,Ubisoft,T,PS3,13
Need for Speed: Most Wanted,Racing,2005,Electronic Arts,0.56,80,9.1,EA,T,GC,13
Tony Hawk's Proving Ground,Sports,2007,Activision,0.56,72,5.4,Neversoft Entertainment,T,X360,13
ESPN NFL Football,Sports,2003,Other,0.56,91,8.5,Visual Concepts,E,PS2,0
TMNT,Action,2007,Ubisoft,0.56,58,6.3,Ubisoft,E10+,X360,10
NCAA Football 07,Sports,2006,Electronic Arts,0.56,88,6.9,EA,E,XB,0
Batman: Vengeance,Adventure,2001,Ubisoft,0.55,68,6.7,Ubisoft,T,PS2,13
Tony Hawk's Pro Skater 3,Sports,2002,Activision,0.55,93,8.4,Neversoft Entertainment,T,XB,13
Resident Evil: Revelations 2,Action,2015,Capcom,0.55,75,7.7,Capcom,M,PS4,17
NBA 2K8,Sports,2007,Take-Two Interactive,0.55,81,6.8,Visual Concepts,E,PS3,0
Assassin's Creed: Unity,Action,2014,Ubisoft,0.55,70,3,Ubisoft,M,PC,17
Assassin's Creed II,Action,2010,Ubisoft,0.55,86,6.9,Ubisoft,M,PC,17
NHL 14,Sports,2013,Electronic Arts,0.54,80,6,EA,E10+,PS3,10
Legends of WrestleMania,Fighting,2009,Other,0.54,70,6.5,Yuke's,T,PS3,13
Tiger Woods PGA Tour 08,Sports,2007,Electronic Arts,0.54,80,7.8,EA,E,X360,0
Tiger Woods PGA Tour 13,Sports,2012,Electronic Arts,0.54,75,5.7,EA,E,PS3,0
Tiger Woods PGA Tour 11,Sports,2010,Electronic Arts,0.54,84,8.3,EA,E,Wii,0
NBA Live 10,Sports,2009,Electronic Arts,0.54,81,7.5,EA,E,PS3,0
SSX Tricky,Sports,2001,Electronic Arts,0.54,87,8.6,EA,E,GC,0
ESPN NBA Basketball,Sports,2003,Other,0.54,89,8.4,Visual Concepts,E,PS2,0
NHL 14,Sports,2013,Electronic Arts,0.54,81,5.9,EA,E10+,X360,10
Harry Potter and the Deathly Hallows - Part 1,Action,2010,Electronic Arts,0.54,41,5,EA,T,Wii,13
Time Crisis II,Shooter,2001,Other,0.53,81,7.9,Namco,T,PS2,13
NCAA March Madness 06,Sports,2005,Electronic Arts,0.53,78,9.1,EA,E,PS2,0
LEGO Dimensions,Action,2015,Warner Bros. Interactive Entertainment,0.53,62,6.5,Traveller's Tales,E10+,WiiU,10
NCAA March Madness 2005,Sports,2004,Electronic Arts,0.53,78,8.3,EA,E,PS2,0
MLB SlugFest 20-04,Sports,2003,Midway Games,0.53,78,8.3,Midway,E,PS2,0
Blitz: The League,Sports,2004,Midway Games,0.53,78,7.7,Midway,M,XB,17
Just Dance 2015,Misc,2014,Ubisoft,0.53,70,7.5,Ubisoft,E10+,XOne,10
The LEGO Movie Videogame,Action,2014,Warner Bros. Interactive Entertainment,0.53,69,6.9,TT Games,E10+,XOne,10
Peter Jackson's King Kong: The Official Game of the Movie,Action,2005,Ubisoft,0.53,82,8.5,Ubisoft,T,XB,13
Medal of Honor: European Assault,Shooter,2005,Electronic Arts,0.53,72,7,EA,T,XB,13
NBA 06,Sports,2005,Sony Computer Entertainment,0.53,63,6.3,EA,E,PS2,0
Magician's Quest: Mysterious Times,Role-Playing,2008,Konami Digital Entertainment,0.53,69,7.6,Konami,E10+,DS,10
ModNation Racers,Racing,2010,Sony Computer Entertainment,0.53,73,7.7,EA,E,PSP,0
WWE SmackDown vs. Raw 2010,Fighting,2009,Other,0.53,75,8.3,Yuke's,T,DS,13
Tom Clancy's Ghost Recon Advanced Warfighter 2,Shooter,2007,Ubisoft,0.53,61,6.4,Ubisoft,T,PSP,13
Michael Jackson: The Experience,Misc,2011,Ubisoft,0.52,66,8.4,Ubisoft,E10+,PS3,10
Tiger Woods PGA Tour 11,Sports,2010,Electronic Arts,0.52,79,7.8,EA,E,X360,0
NBA Live 08,Sports,2007,Electronic Arts,0.52,73,5.3,EA,E,X360,0
We Love Katamari,Puzzle,2005,Electronic Arts,0.52,86,8.9,Namco,E,PS2,0
NCAA Football 2003,Sports,2002,Electronic Arts,0.52,90,8.2,EA,E,XB,0
Madden NFL 07,Sports,2006,Electronic Arts,0.52,76,4.2,EA,E,PS3,0
LEGO Jurassic World,Action,2015,Warner Bros. Interactive Entertainment,0.52,71,8.1,TT Games,E10+,WiiU,10
NBA Live 09,Sports,2008,Electronic Arts,0.52,75,7.8,EA,E,PS3,0
Rory McIlroy PGA Tour,Action,2015,Electronic Arts,0.52,61,3.7,EA,E,PS4,0
Gun,Shooter,2005,Activision,0.52,79,7.8,Neversoft Entertainment,M,XB,17
Fight Night Round 3,Fighting,2006,Electronic Arts,0.52,74,8.1,EA,T,PSP,13
SSX On Tour,Sports,2005,Electronic Arts,0.52,80,7.9,EA,E,PS2,0
Tony Hawk's Pro Skater 3,Sports,2002,Activision,0.52,90,8,Vicarious Visions,E,GBA,0
The Sims 2: Open for Business,Simulation,2006,Electronic Arts,0.52,78,8.6,Maxis,T,PC,13
SimAnimals,Simulation,2009,Electronic Arts,0.52,70,7.5,EA,E,DS,0
NBA Live 2002,Sports,2001,Electronic Arts,0.52,81,8.8,EA,E,PS,0
Madden NFL 2004,Sports,2003,Electronic Arts,0.51,94,7.7,EA,E,GC,0
NBA Live 07,Sports,2006,Electronic Arts,0.51,64,7.5,EA,E,PSP,0
Major League Baseball 2K10,Sports,2010,Take-Two Interactive,0.51,76,7.6,Visual Concepts,E,X360,0
NBA Live 2004,Sports,2003,Electronic Arts,0.51,85,8.2,EA,E,XB,0
Pro Evolution Soccer 2010,Sports,2009,Konami Digital Entertainment,0.51,82,8.4,Konami,E,Wii,0
Ace Combat Zero: The Belkan War,Simulation,2006,Other,0.51,75,8.4,Namco,T,PS2,13
NHL 07,Sports,2006,Electronic Arts,0.51,76,4.6,EA,E10+,PS2,10
NBA Ballers,Sports,2004,Midway Games,0.51,82,8.1,Midway,E,XB,0
Tiger Woods PGA Tour 13,Sports,2012,Electronic Arts,0.51,77,5.6,EA,E,X360,0
NHL 09,Sports,2008,Electronic Arts,0.5,88,8.4,EA,E10+,X360,10
WWE SmackDown vs. RAW 2007,Fighting,2006,Other,0.5,81,7.8,Yuke's,T,X360,13
Lost: Via Domus,Action,2008,Ubisoft,0.5,54,6.9,Ubisoft,T,PS3,13
Pro Evolution Soccer 2012,Action,2011,Konami Digital Entertainment,0.5,78,6.6,Konami,E,X360,0
Major League Baseball 2K12,Sports,2012,Take-Two Interactive,0.5,68,6.4,Visual Concepts,E,X360,0
Dance Dance Revolution Universe 2,Simulation,2007,Konami Digital Entertainment,0.5,65,7.4,Konami,E10+,X360,10
Monster Hunter,Role-Playing,2004,Capcom,0.5,68,8.9,Capcom,T,PS2,13
NBA Street Homecourt,Sports,2007,Electronic Arts,0.5,80,8.2,EA,E,X360,0
Tony Hawk's Underground 2,Sports,2004,Activision,0.5,82,8.9,Neversoft Entertainment,T,GC,13
Madden NFL 07,Sports,2006,Electronic Arts,0.49,81,8,EA,E,Wii,0
Spider-Man 2,Action,2004,Activision,0.49,61,5,Vicarious Visions,E,DS,0
Dynasty Warriors: Gundam 2,Action,2008,Other,0.49,54,7,Omega Force,T,PS3,13
F1 2012,Racing,2012,Codemasters,0.49,84,6.9,Codemasters,E,X360,0
Tony Hawk's Project 8,Sports,2006,Activision,0.49,81,7.6,Neversoft Entertainment,T,X360,13
WWE Wrestlemania X8,Fighting,2002,Other,0.49,64,6.9,Yuke's,T,GC,13
Boogie,Misc,2007,Electronic Arts,0.49,57,5.3,EA,E10+,Wii,10
GoldenEye: Rogue Agent,Shooter,2004,Electronic Arts,0.49,61,7.2,EA,T,XB,13
Resident Evil: The Mercenaries 3D,Action,2011,Capcom,0.49,65,6.4,Capcom,M,3DS,17
Tales of Legendia,Role-Playing,2005,Other,0.49,72,7.7,Namco,T,PS2,13
FIFA Soccer 09,Sports,2008,Electronic Arts,0.49,84,6.1,EA,E,DS,0
Steel Diver,Action,2011,Nintendo,0.49,58,6.3,Nintendo,E10+,3DS,10
Far Cry 2,Action,2008,Ubisoft,0.48,85,5.8,Ubisoft,M,PC,17
NFL Street 2,Sports,2004,Electronic Arts,0.48,78,6.5,EA,E,XB,0
Skylanders: SuperChargers,Action,2015,Activision,0.48,87,5.6,Vicarious Visions,E10+,WiiU,10
Tiger Woods PGA Tour 07,Sports,2006,Electronic Arts,0.48,80,7.9,EA,E,X360,0
NHL 16,Sports,2015,Electronic Arts,0.48,80,6,EA,E10+,XOne,10
Tiger Woods PGA Tour 06,Sports,2005,Electronic Arts,0.48,81,5.1,EA,E,XB,0
FIFA World Cup Germany 2006,Sports,2006,Electronic Arts,0.48,72,6.6,EA,E,X360,0
Spider-Man 3,Platform,2007,Activision,0.47,53,5.3,Vicarious Visions,T,Wii,13
Street Fighter X Tekken,Fighting,2012,Capcom,0.47,83,4.4,Capcom,T,X360,13
FIFA Soccer 13,Action,2012,Electronic Arts,0.47,69,6.2,EA,E,WiiU,0
MySims Racing,Racing,2009,Electronic Arts,0.47,68,7.4,EA,E,Wii,0
The Sims 2: Pets,Simulation,2007,Electronic Arts,0.47,65,7.3,Maxis,T,Wii,13
L.A. Rush,Racing,2005,Midway Games,0.47,58,8,Midway,T,PS2,13
NBA Ballers: Phenom,Sports,2006,Midway Games,0.47,69,8.5,Midway,E,PS2,0
Need for Speed Carbon,Racing,2006,Electronic Arts,0.47,74,7.4,EA,E10+,XB,10
Emergency Heroes,Racing,2008,Ubisoft,0.47,41,4.2,Ubisoft,E10+,Wii,10
EA Sports UFC,Sports,2014,Electronic Arts,0.47,70,6.3,EA,T,XOne,13
Spider-Man 3,Platform,2007,Activision,0.47,79,6.5,Vicarious Visions,E10+,DS,10
One Piece: Pirate Warriors 3,Action,2015,Other,0.46,74,7.4,Omega Force,T,PS4,13
2010 FIFA World Cup South Africa,Sports,2010,Electronic Arts,0.46,69,7.4,EA,E,PSP,0
SimCity Creator,Simulation,2008,Electronic Arts,0.46,67,6.8,EA,E,Wii,0
Harry Potter and the Order of the Phoenix,Action,2007,Electronic Arts,0.46,69,7.2,EA,E10+,Wii,10
The Sims 3: Ambitions,Simulation,2010,Electronic Arts,0.46,74,7.3,EA,T,PC,13
NBA Live 07,Sports,2006,Electronic Arts,0.46,59,4.9,EA,E,X360,0
The Mark of Kri,Action,2002,Sony Computer Entertainment,0.46,80,7.9,EA,M,PS2,17
Crash Nitro Kart,Racing,2003,Other,0.46,77,8.3,Vicarious Visions,E,GBA,0
Boom Blox Bash Party,Puzzle,2009,Electronic Arts,0.46,86,8.4,EA,E,Wii,0
Brothers In Arms: D-Day,Shooter,2006,Ubisoft,0.46,65,9.1,Ubisoft,M,PSP,17
Just Dance 2014,Misc,2013,Ubisoft,0.45,71,7,Ubisoft,E10+,XOne,10
LEGO The Hobbit,Action,2014,Warner Bros. Interactive Entertainment,0.45,70,8.7,TT Games,E10+,X360,10
NFL Head Coach,Sports,2006,Electronic Arts,0.45,66,6.9,EA,E,PS2,0
NHL 2005,Sports,2004,Electronic Arts,0.45,75,8.3,EA,E,PS2,0
Star Wars Jedi Knight: Jedi Academy,Shooter,2003,Activision,0.45,76,8.7,Vicarious Visions,T,XB,13
Dynasty Warriors: Strikeforce,Action,2009,Other,0.45,65,6.8,Omega Force,T,PSP,13
Brain Challenge,Misc,2008,Ubisoft,0.45,68,7,Ubisoft,E,DS,0
Major League Baseball 2K11,Sports,2011,Take-Two Interactive,0.45,69,6.8,Visual Concepts,E,X360,0
Samurai Warriors: Xtreme Legends,Action,2004,Tecmo Koei,0.45,72,8.6,Omega Force,T,PS2,13
NBA Live 2005,Sports,2004,Electronic Arts,0.45,83,6.7,EA,E,GC,0
WWE Day of Reckoning,Fighting,2004,Other,0.45,79,9.1,Yuke's,T,GC,13
NBA Live 10,Sports,2009,Electronic Arts,0.45,80,7.7,EA,E,X360,0
Harry Potter and the Deathly Hallows - Part 1,Action,2010,Electronic Arts,0.45,38,5,EA,T,X360,13
Pro Evolution Soccer 2017,Sports,2016,Konami Digital Entertainment,0.45,85,7.6,Konami,E,PS4,0
Sled Storm,Racing,2002,Electronic Arts,0.45,73,7.7,EA,T,PS2,13
Watch Dogs,Action,2014,Ubisoft,0.45,77,4.7,Ubisoft,M,PC,17
Celebrity Sports Showdown,Sports,2008,Electronic Arts,0.45,50,4.6,EA,E,Wii,0
Tiger Woods PGA Tour 2003,Sports,2002,Electronic Arts,0.44,88,8.5,EA,E,XB,0
Tony Hawk's Proving Ground,Sports,2007,Activision,0.44,73,6.6,Neversoft Entertainment,T,PS3,13
LEGO Star Wars II: The Original Trilogy,Action,2006,Other,0.44,85,8.6,Traveller's Tales,E10+,XB,10
Dance Dance Revolution: Hottest Party 3,Simulation,2009,Konami Digital Entertainment,0.44,66,8.2,Konami,E10+,Wii,10
FIFA Soccer 13,Action,2012,Electronic Arts,0.44,57,4.1,EA,E,PSV,0
Samurai Warriors 3,Action,2009,Nintendo,0.44,55,7.2,Omega Force,T,Wii,13
Classic NES Series: Metroid,Adventure,2004,Nintendo,0.43,58,8.6,Nintendo,E,GBA,0
Band Hero,Misc,2009,Activision,0.43,65,7,Vicarious Visions,E10+,DS,10
SSX Tricky,Sports,2001,Electronic Arts,0.43,88,8.5,EA,E,XB,0
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Action,2005,Other,0.43,68,8.4,Traveller's Tales,T,PS2,13
NCAA Football 2004,Sports,2003,Electronic Arts,0.43,88,8.8,EA,E,XB,0
Lego Batman 3: Beyond Gotham,Action,2014,Warner Bros. Interactive Entertainment,0.43,74,7.1,TT Games,E10+,XOne,10
MLB 14: The Show,Sports,2014,Other,0.43,81,6.8,EA,E,PS3,0
OkamiDen,Adventure,2010,Capcom,0.43,82,7.9,Capcom,E10+,DS,10
Just Dance 4,Misc,2012,Ubisoft,0.43,77,7.1,Ubisoft,E10+,PS3,10
Castlevania: Dawn of Sorrow,Platform,2005,Konami Digital Entertainment,0.43,89,8.5,Konami,T,DS,13
Rayman Legends,Platform,2013,Ubisoft,0.43,90,8.2,Ubisoft,E10+,X360,10
Madden NFL 2003,Sports,2002,Electronic Arts,0.43,92,8.5,EA,E,GC,0
NBA Street,Sports,2002,Electronic Arts,0.42,88,8.6,EA,E,GC,0
Def Jam Icon,Action,2007,Electronic Arts,0.42,68,4.4,EA,M,PS3,17
2014 FIFA World Cup Brazil,Sports,2014,Electronic Arts,0.42,74,4.4,EA,E,X360,0
Mega Man Battle Network,Role-Playing,2001,Capcom,0.42,79,8.9,Capcom,E,GBA,0
Medal of Honor: Rising Sun,Shooter,2003,Electronic Arts,0.42,68,6.4,EA,T,GC,13
Tony Hawk's American Wasteland,Sports,2005,Activision,0.42,76,7.7,Neversoft Entertainment,T,GC,13
2010 FIFA World Cup South Africa,Sports,2010,Electronic Arts,0.42,70,6.7,EA,E,Wii,0
NASCAR Kart Racing,Racing,2009,Electronic Arts,0.42,70,8.1,EA,E,Wii,0
James Bond 007: Everything or Nothing,Shooter,2004,Electronic Arts,0.42,84,8.2,EA,T,GC,13
NBA Live 06,Sports,2005,Electronic Arts,0.42,80,7.6,EA,E,PSP,0
MLB 08: The Show,Sports,2008,Sony Computer Entertainment,0.42,84,7.3,EA,E,PS2,0
Harry Potter and the Goblet of Fire,Action,2005,Electronic Arts,0.42,69,6.3,EA,E10+,GC,10
Mega Man X6,Action,2001,Capcom,0.42,65,6.8,Capcom,E,PS,0
Castlevania: Curse of Darkness,Action,2005,Konami Digital Entertainment,0.42,70,7.5,Konami,M,PS2,17
Mega Man Legends 2,Adventure,2000,Capcom,0.42,76,8.8,Capcom,E,PS,0
Blazing Angels: Squadrons of WWII,Simulation,2006,Ubisoft,0.42,66,7.9,Ubisoft,T,X360,13
Just Dance 2014,Misc,2013,Ubisoft,0.41,75,5.5,Ubisoft,E10+,PS4,10
EA Sports UFC 2,Sports,2016,Electronic Arts,0.41,76,6,EA,T,XOne,13
